Fecha del Siniestro,Tipo de auto,Modelo,Monto del siniestro,Aplica cobertura,Deducible,Reclamo de no-Cobertura,Pérdida total
01/12/2020,Deportivo,2017,200000,Si,NA,Si,Si
12/05/2020,Austero,2016,100000,Si,NA,Si,Si
11/01/2020,compacto,2017,150000,Si,NA,Si,Si
21/12/2020,Subcompacto,2017,70000,Si,NA,Si,Si
30/05/2020,Subcompacto,2019,90000,Si,NA,Si,Si
02/03/2020,compacto,2017,150000,Si,NA,Si,Si
11/08/2020,compacto,2016,140000,Si,NA,Si,Si
27/06/2020,Camioneta,2016,130000,Si,NA,Si,Si
08/02/2020,Camioneta,2016,130000,Si,NA,Si,Si
09/09/2020,compacto,2017,150000,Si,NA,Si,Si
29/04/2020,Austero,2017,110000,Si,NA,Si,Si
31/07/2020,Subcompacto,2017,70000,Si,NA,Si,Si
02/12/2020,Deportivo,2018,220000,Si,NA,Si,Si
10/09/2020,Austero,2016,100000,Si,NA,Si,Si
15/01/2020,De Lujo,2015,200000,Si,NA,Si,Si
04/05/2020,compacto,2017,150000,Si,NA,Si,Si
08/03/2020,Subcompacto,2013,17670,Si,2200,No,No
24/11/2020,Camioneta,2018,56280,Si,8000,No,No
04/09/2020,Austero,2018,6550,Si,1200,No,No
05/02/2020,Subcompacto,2015,11480,Si,2000,No,No
24/08/2020,compacto,2017,26000,Si,3700,No,No
20/12/2020,compacto,2017,20820,Si,3200,No,No
02/07/2020,Subcompacto,2018,16620,Si,2800,No,No
29/07/2020,Austero,2017,1120,Si,1700,Si,No
08/04/2020,De Lujo,2017,49410,Si,5700,No,No
31/10/2020,Subcompacto,2017,11850,Si,2100,No,No
14/05/2020,Austero,2017,1930,Si,1600,No,No
03/10/2020,Subcompacto,2017,18810,Si,2500,No,No
04/11/2020,Austero,2017,5510,Si,1700,No,No
25/09/2020,Camioneta,2017,59230,Si,6400,No,No
29/01/2020,De Lujo,2017,48120,Si,5700,No,No
11/04/2020,De Lujo,2017,49190,Si,5300,No,No
16/11/2020,compacto,2017,24720,Si,3500,No,No
10/08/2020,Austero,2018,8440,Si,1100,No,No
23/08/2020,Camioneta,2016,62380,Si,8900,No,No
08/10/2020,Camioneta,2017,80950,Si,8500,No,No
19/09/2020,Subcompacto,2018,13640,Si,2200,No,No
01/12/2020,Camioneta,2017,50150,Si,9900,No,No
09/05/2020,Camioneta,2016,67450,Si,8400,No,No
13/10/2020,Deportivo,2018,39260,Si,4700,No,No
08/04/2020,Subcompacto,2018,10700,Si,2400,No,No
05/08/2020,De Lujo,2017,48680,Si,5800,No,No
15/03/2020,compacto,2016,24690,Si,3300,No,No
08/06/2020,Subcompacto,2017,12890,Si,2300,No,No
08/05/2020,compacto,2017,21950,Si,3800,No,No
02/09/2020,Austero,2017,4870,Si,1100,No,No
07/06/2020,Subcompacto,2017,11080,Si,2000,No,No
26/06/2020,Camioneta,2018,114910,Si,6400,No,No
31/08/2020,Camioneta,2017,80020,Si,8500,No,No
08/12/2020,Austero,2018,5360,Si,1200,No,No
24/02/2020,Subcompacto,2016,16920,Si,2000,No,No
01/02/2020,Camioneta,2016,89890,Si,8100,No,No
26/06/2020,Austero,2017,160,Si,1900,Si,No
02/04/2020,Subcompacto,2017,11500,Si,2000,No,No
30/03/2020,compacto,2017,23910,Si,3300,No,No
03/06/2020,De Lujo,2016,47990,Si,5000,No,No
08/02/2020,Austero,2018,7100,Si,1200,No,No
19/11/2020,Austero,2018,2660,Si,1100,No,No
24/01/2020,De Lujo,2018,43670,Si,5400,No,No
11/03/2020,Deportivo,2018,32510,Si,4000,No,No
24/11/2020,compacto,2017,22470,Si,3800,No,No
02/05/2020,compacto,2017,26880,Si,3200,No,No
18/10/2020,Camioneta,2016,55840,Si,9500,No,No
23/08/2020,Camioneta,2017,57910,Si,6100,No,No
07/11/2020,Austero,2017,3790,Si,1100,No,No
28/08/2020,Austero,2016,360,Si,1300,Si,No
05/06/2020,compacto,2017,27710,Si,3200,No,No
26/09/2020,Austero,2016,6390,Si,1200,No,No
03/07/2020,Subcompacto,2017,17350,Si,2500,No,No
06/08/2020,Subcompacto,2018,14470,Si,2800,No,No
31/01/2020,Deportivo,2018,32480,Si,4200,No,No
21/08/2020,compacto,2016,22790,Si,3300,No,No
27/12/2020,Subcompacto,2017,14760,Si,2600,No,No
04/05/2020,Subcompacto,2018,15300,Si,2400,No,No
17/09/2020,compacto,2017,29850,Si,3800,No,No
